comp_bytes	uncomp_bytes	num_apps	path	apps
3047	9992	1	res/Qc.xml	alchemist
3037	12488	1	res/Ru.xml	alchemist
3027	11888	1	res/Ml.xml	alchemist
3021	8312	1	res/1s.xml	alchemist
3013	12264	1	AndroidManifest.xml	openassistant
2998	9968	1	res/qc.xml	alchemist
2996	11968	1	res/3x.xml	alchemist
2989	10712	1	res/8H.xml	alchemist
2985	10748	1	res/7t1.xml	alchemist
2961	9812	1	res/gA.xml	alchemist
2948	23756	1	res/SR.xml	alchemist
2943	12824	1	res/QR.xml	alchemist
2915	9868	1	res/6c.xml	alchemist
2914	7728	2	google/protobuf/api.proto	camera,photos
2914	11200	1	res/OP.xml	alchemist
2902	6595	2	google/protobuf/timestamp.proto	messages,youpipe
2897	11504	1	res/p3.xml	alchemist
2893	9420	1	res/OT.xml	alchemist
2845	11356	1	res/kU.xml	alchemist
2842	11208	1	AndroidManifest.xml	youpipe
2835	83059	1	assets/packs/blob.json	pipes
2834	2834	24	res/qD.9.png	alchemist,calendar,camera,chess,clock,contacts,email,findfamily,health,maps,messages,music,notes,office,openassistant,passwords,pdf,photos,pipes,solitaire,unblockjam,weather,wordmaker,youpipe
2832	9451	1	org/apache/commons/codec/language/bm/ash_rules_any.txt	passwords
2825	8184	1	res/tV.xml	alchemist
2821	6449	2	google/protobuf/timestamp.proto	camera,photos
2816	2816	24	res/MF.9.png	alchemist,calendar,camera,chess,clock,contacts,email,findfamily,health,maps,messages,music,notes,office,openassistant,passwords,pdf,photos,pipes,solitaire,unblockjam,weather,wordmaker,youpipe
2805	8800	1	res/8B.xml	alchemist
2805	112237	1	assets/packs/hourglass.json	pipes
2800	10200	1	res/9f.xml	alchemist
2784	11356	1	res/tW.xml	alchemist
2783	10872	1	res/G0.xml	alchemist
2777	11448	1	AndroidManifest.xml	clock
2755	88836	1	assets/packs/walls.json	pipes
2735	13088	1	res/B7.xml	alchemist
2728	7404	1	res/o0.xml	alchemist
2683	2683	2	res/20.png	music,youpipe
2680	10684	1	AndroidManifest.xml	music
2677	9340	1	res/6V.xml	alchemist
2677	9496	1	res/Vl.xml	alchemist
2672	8824	1	res/S8.xml	alchemist
2672	6688	1	res/ZL.xml	alchemist
2671	15308	1	res/DI.xml	alchemist
2671	10048	1	res/pI.xml	alchemist
2646	8952	1	res/8K.xml	alchemist
2621	6154	2	google/protobuf/any.proto	camera,photos
2609	7774	2	google/protobuf/type.proto	messages,youpipe
2607	9180	1	res/S0.xml	alchemist
2604	7769	1	com/google/auto/value/processor/builder.vm	camera
2604	7328	1	res/ZZ.xml	alchemist
2593	8828	1	res/3j.xml	alchemist
2588	7732	1	res/sq.xml	alchemist
2584	8720	1	res/Dv.xml	alchemist
2582	12496	1	res/67.xml	passwords
2580	22331	1	assets/holidays/Germany.json	calendar
2577	11064	1	res/lx.xml	alchemist
2568	6732	1	res/rG.xml	alchemist
2563	7084	1	res/Ma.xml	alchemist
2557	9316	1	res/QV.xml	alchemist
2537	8120	1	res/Qp.xml	alchemist
2535	65760	1	assets/packs/10x10.json	pipes
2525	12356	1	res/mv1.xml	alchemist
2519	7300	1	res/eM.xml	alchemist
2512	10100	1	res/Ap.xml	alchemist
2511	8588	1	res/hB.xml	alchemist
2505	2505	24	res/NA.9.png	alchemist,calendar,camera,chess,clock,contacts,email,findfamily,health,maps,messages,music,notes,office,openassistant,passwords,pdf,photos,pipes,solitaire,unblockjam,weather,wordmaker,youpipe
2491	9584	1	res/R3.xml	alchemist
2487	7676	1	res/DX.xml	alchemist
2485	7144	1	res/BM.xml	alchemist
2485	8392	1	res/ZA.xml	alchemist
2483	7212	1	res/Mh.xml	alchemist
2482	9444	1	AndroidManifest.xml	camera
2479	8132	1	res/hj.xml	alchemist
2476	5296	1	res/k3.xml	openassistant
2468	7820	1	res/aX.xml	alchemist
