comp_bytes	num_apps	waste_bytes	path	apps
777	17	12432	DebugProbesKt.bin	alchemist,calendar,camera,chess,clock,contacts,music,notes,office,openassistant,passwords,pdf,photos,pipes,solitaire,unblockjam,wordmaker
777	2	777	res/Jw.xml	calendar,email
777	2	777	res/Jw.xml	music,youpipe
776	24	17848	res/Nk.9.png	alchemist,calendar,camera,chess,clock,contacts,email,findfamily,health,maps,messages,music,notes,office,openassistant,passwords,pdf,photos,pipes,solitaire,unblockjam,weather,wordmaker,youpipe
774	7	4644	DebugProbesKt.bin	email,findfamily,health,maps,messages,weather,youpipe
766	2	766	com/google/i18n/phonenumbers/data/ShortNumberMetadataProto_EE	contacts,messages
754	24	17342	res/ut.9.png	alchemist,calendar,camera,chess,clock,contacts,email,findfamily,health,maps,messages,music,notes,office,openassistant,passwords,pdf,photos,pipes,solitaire,unblockjam,weather,wordmaker,youpipe
754	2	754	com/google/i18n/phonenumbers/data/PhoneNumberMetadataProto_IT	contacts,messages
753	24	17319	res/jW.png	alchemist,calendar,camera,chess,clock,contacts,email,findfamily,health,maps,messages,music,notes,office,openassistant,passwords,pdf,photos,pipes,solitaire,unblockjam,weather,wordmaker,youpipe
742	3	1484	res/io1.xml	calendar,email,weather
742	22	15582	res/qx.xml	alchemist,calendar,camera,chess,clock,contacts,email,findfamily,health,maps,messages,music,notes,office,openassistant,pdf,pipes,solitaire,unblockjam,weather,wordmaker,youpipe
742	2	742	res/qx.xml	passwords,photos
738	24	16974	res/Pa.9.png	alchemist,calendar,camera,chess,clock,contacts,email,findfamily,health,maps,messages,music,notes,office,openassistant,passwords,pdf,photos,pipes,solitaire,unblockjam,weather,wordmaker,youpipe
737	2	737	com/google/i18n/phonenumbers/data/ShortNumberMetadataProto_IN	contacts,messages
732	3	1464	res/jv.xml	calendar,email,weather
731	22	15351	res/kj1.xml	alchemist,calendar,camera,chess,clock,contacts,email,findfamily,health,maps,messages,music,notes,office,openassistant,pdf,pipes,solitaire,unblockjam,weather,wordmaker,youpipe
731	2	731	res/kj1.xml	passwords,photos
728	2	728	res/3H.xml	music,youpipe
727	2	727	com/google/i18n/phonenumbers/data/PhoneNumberMetadataProto_AU	contacts,messages
725	3	1450	res/Dv.xml	calendar,email,weather
722	2	722	res/a6.xml	music,youpipe
703	24	16169	res/Nu.xml	alchemist,calendar,camera,chess,clock,contacts,email,findfamily,health,maps,messages,music,notes,office,openassistant,passwords,pdf,photos,pipes,solitaire,unblockjam,weather,wordmaker,youpipe
701	2	701	res/xL.xml	music,youpipe
696	2	696	com/google/i18n/phonenumbers/data/PhoneNumberMetadataProto_UZ	contacts,messages
693	2	693	res/w6.xml	music,youpipe
692	2	692	res/96.xml	music,youpipe
691	3	1382	res/v0.xml	calendar,email,weather
690	2	690	res/s9.xml	music,youpipe
682	3	1364	res/0u1.xml	calendar,email,weather
680	3	1360	res/j51.xml	calendar,email,weather
680	2	680	res/xL1.xml	music,youpipe
678	24	15594	res/Ol.xml	alchemist,calendar,camera,chess,clock,contacts,email,findfamily,health,maps,messages,music,notes,office,openassistant,passwords,pdf,photos,pipes,solitaire,unblockjam,weather,wordmaker,youpipe
676	2	676	res/7U.xml	music,youpipe
675	2	675	res/Jn.xml	music,youpipe
674	2	674	com/google/i18n/phonenumbers/data/PhoneNumberMetadataProto_HK	contacts,messages
670	2	670	com/google/i18n/phonenumbers/data/PhoneNumberMetadataProto_ID	contacts,messages
668	3	1336	res/2f.xml	clock,notes,openassistant
668	2	668	com/google/i18n/phonenumbers/data/PhoneNumberMetadataProto_AT	contacts,messages
668	8	4676	res/2f.xml	chess,contacts,health,office,pipes,solitaire,unblockjam,wordmaker
668	2	668	res/2f.xml	findfamily,maps
667	2	667	res/2f1.xml	calendar,email
667	2	667	res/2f.xml	music,youpipe
667	2	667	res/Cs.xml	music,youpipe
660	22	13860	res/Ke.xml	alchemist,calendar,camera,chess,clock,contacts,email,findfamily,health,maps,messages,music,notes,office,openassistant,pdf,pipes,solitaire,unblockjam,weather,wordmaker,youpipe
660	3	1320	res/z4.xml	calendar,email,weather
660	2	660	res/Ke.xml	passwords,photos
656	2	656	res/K5.xml	calendar,email
656	2	656	res/K5.xml	findfamily,maps
656	2	656	res/K5.xml	music,youpipe
655	9	5240	res/K5.xml	alchemist,chess,contacts,health,office,pipes,solitaire,unblockjam,wordmaker
655	2	655	res/K5.xml	notes,openassistant
653	2	653	com/google/i18n/phonenumbers/data/PhoneNumberMetadataProto_KR	contacts,messages
652	2	652	com/google/i18n/phonenumbers/data/PhoneNumberMetadataProto_MY	contacts,messages
651	2	651	res/4T.xml	calendar,maps
651	24	14973	res/o_.png	alchemist,calendar,camera,chess,clock,contacts,email,findfamily,health,maps,messages,music,notes,office,openassistant,passwords,pdf,photos,pipes,solitaire,unblockjam,weather,wordmaker,youpipe
645	2	645	res/9V.xml	calendar,email
645	3	1290	res/9V.xml	clock,notes,openassistant
645	2	645	res/9V.xml	findfamily,maps
645	2	645	res/9V.xml	music,youpipe
644	9	5152	res/9V.xml	alchemist,chess,contacts,health,office,pipes,solitaire,unblockjam,wordmaker
644	2	644	res/gX.xml	music,youpipe
643	12	7073	res/41.xml	alchemist,chess,findfamily,health,notes,openassistant,passwords,photos,pipes,solitaire,unblockjam,wordmaker
641	2	641	res/h4.xml	passwords,photos
640	3	1280	res/_11.xml	calendar,email,weather
